metric	value
sample	GSM6613090_V_Human_STEMI
n_spots	1551
detected_genes_CM_BZ1_TRANSITION	4
detected_genes_CM_BZ2_MECHANICAL_EDGE	6
detected_genes_FAP_POSTN_PATHO_FIBROBLAST	8
detected_genes_CTHRC1_REPARATIVE_CF	7
detected_genes_MYOFIBROBLAST_CONTRACTILE	6
detected_genes_CCR2_IL1B_MYLOID	7
detected_genes_TGFB_SIGNALING	7
detected_genes_ECM_REMODELING	8
detected_genes_ENDOTHELIAL_INFLAMMATORY_FIBROSIS	6
detected_genes_HYPOXIA_ISCHEMIA	6
detected_genes_CM_ELECTRICAL_CALCIUM_FUNCTION	7
detected_genes_INJURY_STRESS_IMMEDIATE_EARLY	6
mean_mechanical_border_score	7.9626e-10
p90_mechanical_border_score	2.04415
p95_mechanical_border_score	2.37826
mean_immune_fibrotic_activation_score	3.13088e-09
p90_immune_fibrotic_activation_score	2.74538
p95_immune_fibrotic_activation_score	3.50604
mean_fibroblast_scar_repair_score	1.95358e-09
p90_fibroblast_scar_repair_score	3.8231
p95_fibroblast_scar_repair_score	4.88442
