human_gene_name	primary_state	mouse_spatial_score	human_support_score	pharmacology_score	repair_safety_penalty	final_priority_score	priority_tier	best_drug_name	best_drug_action	direction_match	best_pair_source_count
COL6A1	immune_fibrotic_adverse	37.35714096737006	14.456331422118977	24.0	4.0	71.81347238948904	tier_b	OCRIPLASMIN	unknown	unknown	2
CD74	immune_fibrotic_adverse	38.246395779255145	13.172477316397735	20.0	0.0	71.41887309565288	tier_a	MILATUZUMAB	inhibit	matched	3
COL6A2	immune_fibrotic_adverse	37.11388253125003	13.689627215818795	24.49645966091785	4.0	71.29996940798668	tier_b	OCRIPLASMIN	unknown	unknown	2
FN1	scar_repair_associated	38.42100883309308	16.67872935562358	30.0	14.0	71.09973818871666	caution_protective	L19IL2	unknown	unknown	3
MYH7	mechanical_adverse	37.141655837024786	14.728942737573128	30.0	15.0	66.87059857459792	caution_protective	OMECAMTIV MECARBIL	activate	mismatched	2
COL18A1	scar_repair_associated	37.59280026623878	12.49594820317738	25.813443833940156	10.0	65.90219230335632	tier_b	OCRIPLASMIN	unknown	unknown	2
COL5A1	scar_repair_associated	38.09648599864171	13.999295393280269	26.412247207510944	14.0	64.50802859943292	caution_protective	OCRIPLASMIN	unknown	unknown	2
COL3A1	scar_repair_associated	38.30561679246617	16.60946893010749	24.0	15.0	63.91508572257365	caution_protective	OCRIPLASMIN	unknown	unknown	2
TNFRSF12A	mechanical_adverse	35.364703672593905	9.5119761840276	18.669937898515077	0.0	63.54661775513658	tier_b	TWEAK	unknown	unknown	1
TNNT2	mechanical_adverse	35.64486586272267	14.215148314176076	26.0	14.0	61.860014176898744	caution_protective	LEVOSIMENDAN	unknown	unknown	2
MT-ND4	mechanical_adverse	33.74725470251237	14.432252380628745	16.651204014595372	3.0	61.8307110977365	tier_b	METFORMIN HYDROCHLORIDE	inhibit	matched	2
LOXL2	immune_fibrotic_adverse	34.71505115627345	6.6080543202634505	18.886991651243285	0.0	60.21009712778018	tier_b	SIMTUZUMAB	inhibit	matched	3
MT-ND5	mechanical_adverse	33.84099040956678	13.465192743525977	15.647967533414494	3.0	59.95415068650725	tier_b	METFORMIN HYDROCHLORIDE	inhibit	matched	2
VIM	scar_repair_associated	37.77622878697581	12.916839943006185	18.870442863965017	10.0	59.563511593947	tier_b	PRITUMUMAB	unknown	unknown	3
ENG	immune_fibrotic_adverse	34.80176886679815	9.75036591263962	20.888693907032213	8.0	57.440828686469985	tier_b	CAROTUXIMAB	inhibit	matched	3
CSF1	immune_fibrotic_adverse	35.68213445869026	4.630174891277472	18.0	1.0	57.31230934996773	tier_b	MCS-110	inhibit	matched	3
CXCL12	scar_repair_associated	37.58499380577856	12.345751958441584	23.00647066125395	18.0	54.93721642547409	caution_protective	OLAPTESED PEGOL	unknown	unknown	1
IL1B	immune_fibrotic_adverse	31.410083711419297	0.6115359844727385	25.554570149158685	3.0	54.57618984505072	tier_b	GEVOKIZUMAB	inhibit	matched	3
