dataset	sample	patient	stage_region	coarse_region	section_boundary_transition_index	spot_median_boundary_transition_index	spot_p90_boundary_transition_index
GSE176092	GSM5355666_WT_MI_day7_1		day7	day7	1.5885577824709547	-0.3140658041410902	1.1608752411888177
GSE176092	GSM5355668_WT_MI_day14_1		day14	day14	-0.6132919440654913	-0.10205551327853646	0.6547735862744143
GSE176092	GSM5943189_WT_MI_day1_1		day1	day1	-0.8969488797122743	-0.025889709341753536	0.5934169498236312
GSE176092	GSM5943190_WT_MI_day1_2		day1	day1	-0.4566417281541173	-0.07200619840772307	0.6460504521993318
GSE176092	GSM5943191_WT_MI_day1_3		day1	day1	-0.3118335903214649	-0.09937646530093998	0.5484082372788311
GSE176092	GSM5943192_WT_MI_day7_2		day7	day7	0.5288402742735004	-0.18774234946495075	0.8613988693597409
GSE176092	GSM5943193_WT_MI_day7_3		day7	day7	0.4062963553498591	-0.12096992150761011	0.7761337665667226
GSE176092	GSM5943194_WT_MI_day14_2		day14	day14	-0.2200273356903298	-0.13035691302416963	0.7576460468834274
GSE176092	GSM5943195_WT_MI_day14_3		day14	day14	-0.02495093415063865	-0.15672265563371884	0.8725502386086889
GSE265828	GSM8229742_control		control	control	-0.5181161210565514	-0.06529994619615447	0.7634727634694546
GSE265828	GSM8229743_dpi3		day3	day3	-0.22759311446371833	-0.13759567921945418	0.8405891708083202
GSE265828	GSM8229744_dpi5_female		day5	day5	0.5883186727817682	0.16192354949538482	0.9513860625467349
GSE265828	GSM8229745_dpi5_male		day5	day5	0.1573905627385018	-0.2542215418721552	0.99543884284232
KUPPE2022	Visium_control_P1	1	control_P1	control	-0.40390266588888885	-0.0336280087757426	0.8050881382515659
KUPPE2022	Visium_control_P8	8	control_P8	control	-0.3540478441694496	-0.05874237332256319	0.7956652759807828
KUPPE2022	Visium_control_P17	17	control_P17	control	-0.4069907741975862	-0.06478506319582716	0.7704922255076482
KUPPE2022	Visium_RZ_BZ_P3	3	RZ_BZ_P3	border	-0.03099775870516615	-0.04169784749629894	0.7737888458209081
KUPPE2022	Visium_RZ_BZ_P12	12	RZ_BZ_P12	border	-0.4419867354237707	-0.04914015778463908	0.7825081893234518
KUPPE2022	Visium_IZ_BZ_P2	2	IZ_BZ_P2	border	0.5126786394701505	-0.018996624449816625	0.729223597044681
KUPPE2022	Visium_FZ_P14	14	FZ_P14	fibrotic	-0.09904555044541523	0.02217364841784771	0.8535969469494165
KUPPE2022	Visium_FZ_P18	18	FZ_P18	fibrotic	0.6886497982734904	0.0692105749832224	0.8543160801236073
KUPPE2022	Visium_FZ_P20	20	FZ_P20	fibrotic	0.5356428910866358	-0.008733761785433131	0.9154098107086944
