omitted_sample	check	n_remaining_values	mean_margin	min_margin	direction_preserved
none	day3_domain3_mechanical_exceeds_domain4	3	2.43259	1.72328	True
none	day7_domain3_mechanical_exceeds_domain4	3	3.45099	3.33083	True
none	day7_domain4_scar_repair_exceeds_domain3	3	2.30291	1.97691	True
none	day3_domain4_scar_repair_not_yet_dominant	3	0.811036	0.745142	True
D3_1	day3_domain3_mechanical_exceeds_domain4	2	1.86543	1.72328	True
D3_1	day7_domain3_mechanical_exceeds_domain4	3	3.45099	3.33083	True
D3_1	day7_domain4_scar_repair_exceeds_domain3	3	2.30291	1.97691	True
D3_1	day3_domain4_scar_repair_not_yet_dominant	2	0.843983	0.816382	True
D3_2	day3_domain3_mechanical_exceeds_domain4	2	2.78725	2.00758	True
D3_2	day7_domain3_mechanical_exceeds_domain4	3	3.45099	3.33083	True
D3_2	day7_domain4_scar_repair_exceeds_domain3	3	2.30291	1.97691	True
D3_2	day3_domain4_scar_repair_not_yet_dominant	2	0.780762	0.745142	True
D3_3	day3_domain3_mechanical_exceeds_domain4	2	2.6451	1.72328	True
D3_3	day7_domain3_mechanical_exceeds_domain4	3	3.45099	3.33083	True
D3_3	day7_domain4_scar_repair_exceeds_domain3	3	2.30291	1.97691	True
D3_3	day3_domain4_scar_repair_not_yet_dominant	2	0.808363	0.745142	True
D7_1	day3_domain3_mechanical_exceeds_domain4	3	2.43259	1.72328	True
D7_1	day7_domain3_mechanical_exceeds_domain4	2	3.46104	3.33083	True
D7_1	day7_domain4_scar_repair_exceeds_domain3	2	2.29311	1.97691	True
D7_1	day3_domain4_scar_repair_not_yet_dominant	3	0.811036	0.745142	True
D7_2	day3_domain3_mechanical_exceeds_domain4	3	2.43259	1.72328	True
D7_2	day7_domain3_mechanical_exceeds_domain4	2	3.51107	3.43089	True
D7_2	day7_domain4_scar_repair_exceeds_domain3	2	2.14972	1.97691	True
D7_2	day3_domain4_scar_repair_not_yet_dominant	3	0.811036	0.745142	True
D7_3	day3_domain3_mechanical_exceeds_domain4	3	2.43259	1.72328	True
D7_3	day7_domain3_mechanical_exceeds_domain4	2	3.38086	3.33083	True
D7_3	day7_domain4_scar_repair_exceeds_domain3	2	2.46591	2.32252	True
D7_3	day3_domain4_scar_repair_not_yet_dominant	3	0.811036	0.745142	True
