adjustment_mode	sample	stage	score	contrast	n_domain3_spots	n_domain4_spots	raw_margin	marker_adjusted_residual_margin
lineage_marker_covariates	D3_1	day3_mi	mechanical_border	domain3_minus_domain4	376	891	3.5669183	0.51849846
lineage_marker_covariates	D3_1	day3_mi	immune_fibrotic_activation	domain3_minus_domain4	376	891	-1.2218931	-0.25650716
lineage_marker_covariates	D3_1	day3_mi	fibroblast_scar_repair	domain3_minus_domain4	376	891	0.74514333	0.24844451
lineage_marker_covariates	D3_2	day3_mi	mechanical_border	domain3_minus_domain4	320	443	1.7232801	0.8685944
lineage_marker_covariates	D3_2	day3_mi	immune_fibrotic_activation	domain3_minus_domain4	320	443	-0.4263997	-0.28530451
lineage_marker_covariates	D3_2	day3_mi	fibroblast_scar_repair	domain3_minus_domain4	320	443	0.87158065	1.1371696
lineage_marker_covariates	D3_3	day3_mi	mechanical_border	domain3_minus_domain4	463	664	2.0075753	0.66844241
lineage_marker_covariates	D3_3	day3_mi	immune_fibrotic_activation	domain3_minus_domain4	463	664	-0.91611712	-0.18283208
lineage_marker_covariates	D3_3	day3_mi	fibroblast_scar_repair	domain3_minus_domain4	463	664	0.81638563	0.54127777
lineage_marker_covariates	D7_1	day7_mi	mechanical_border	domain3_minus_domain4	302	379	3.4308911	0.32936855
lineage_marker_covariates	D7_1	day7_mi	immune_fibrotic_activation	domain3_minus_domain4	302	379	-1.415433	0.056444532
lineage_marker_covariates	D7_1	day7_mi	fibroblast_scar_repair	domain3_minus_domain4	302	379	-2.3225228	0.22193622
lineage_marker_covariates	D7_2	day7_mi	mechanical_border	domain3_minus_domain4	535	579	3.3308295	0.29491077
lineage_marker_covariates	D7_2	day7_mi	immune_fibrotic_activation	domain3_minus_domain4	535	579	-1.3715936	0.0593287
lineage_marker_covariates	D7_2	day7_mi	fibroblast_scar_repair	domain3_minus_domain4	535	579	-2.6092939	0.14077153
lineage_marker_covariates	D7_3	day7_mi	mechanical_border	domain3_minus_domain4	528	580	3.5912495	0.26637711
lineage_marker_covariates	D7_3	day7_mi	immune_fibrotic_activation	domain3_minus_domain4	528	580	-1.1806057	0.10188685
lineage_marker_covariates	D7_3	day7_mi	fibroblast_scar_repair	domain3_minus_domain4	528	580	-1.9769108	0.25442847
expanded_marker_covariates	D3_1	day3_mi	mechanical_border	domain3_minus_domain4	376	891	3.5669183	0.46871992
expanded_marker_covariates	D3_1	day3_mi	immune_fibrotic_activation	domain3_minus_domain4	376	891	-1.2218931	-0.3354252
expanded_marker_covariates	D3_1	day3_mi	fibroblast_scar_repair	domain3_minus_domain4	376	891	0.74514333	0.018509127
expanded_marker_covariates	D3_2	day3_mi	mechanical_border	domain3_minus_domain4	320	443	1.7232801	0.78457203
expanded_marker_covariates	D3_2	day3_mi	immune_fibrotic_activation	domain3_minus_domain4	320	443	-0.4263997	-0.38974011
expanded_marker_covariates	D3_2	day3_mi	fibroblast_scar_repair	domain3_minus_domain4	320	443	0.87158065	0.17471607
expanded_marker_covariates	D3_3	day3_mi	mechanical_border	domain3_minus_domain4	463	664	2.0075753	0.53083038
expanded_marker_covariates	D3_3	day3_mi	immune_fibrotic_activation	domain3_minus_domain4	463	664	-0.91611712	-0.26898797
expanded_marker_covariates	D3_3	day3_mi	fibroblast_scar_repair	domain3_minus_domain4	463	664	0.81638563	0.02837799
expanded_marker_covariates	D7_1	day7_mi	mechanical_border	domain3_minus_domain4	302	379	3.4308911	0.31041042
expanded_marker_covariates	D7_1	day7_mi	immune_fibrotic_activation	domain3_minus_domain4	302	379	-1.415433	0.0023580086
expanded_marker_covariates	D7_1	day7_mi	fibroblast_scar_repair	domain3_minus_domain4	302	379	-2.3225228	0.067372606
expanded_marker_covariates	D7_2	day7_mi	mechanical_border	domain3_minus_domain4	535	579	3.3308295	0.29153623
expanded_marker_covariates	D7_2	day7_mi	immune_fibrotic_activation	domain3_minus_domain4	535	579	-1.3715936	0.027478761
expanded_marker_covariates	D7_2	day7_mi	fibroblast_scar_repair	domain3_minus_domain4	535	579	-2.6092939	0.042760826
expanded_marker_covariates	D7_3	day7_mi	mechanical_border	domain3_minus_domain4	528	580	3.5912495	0.22186586
expanded_marker_covariates	D7_3	day7_mi	immune_fibrotic_activation	domain3_minus_domain4	528	580	-1.1806057	0.031418115
expanded_marker_covariates	D7_3	day7_mi	fibroblast_scar_repair	domain3_minus_domain4	528	580	-1.9769108	-0.0017876287
