sample	stage	n_spots	k_score_states	ari_vs_author_domains	nmi_vs_author_domains	inertia	domain3_best_cluster	domain3_best_cluster_state	domain3_precision	domain3_recall	domain3_f1	domain4_best_cluster	domain4_best_cluster_state	domain4_precision	domain4_recall	domain4_f1
D3_1	day3_mi	2236	3	0.64461283	0.6367629	1928.5169	2	mechanical_high	0.52923977	0.96276596	0.68301887	0	immune_fibrotic_high	0.97938144	0.85297419	0.91181764
D3_1	day3_mi	2236	4	0.64649456	0.62466963	1460.0223	2	mechanical_high	0.64901961	0.88031915	0.74717833	0	immune_fibrotic_high	0.98039216	0.84175084	0.9057971
D3_2	day3_mi	2412	3	0.37089205	0.33277045	3030.5729	1	mechanical_high	0.31497006	0.821875	0.45541126	0	scar_repair_immune_fibrotic_mixed	0.42114695	0.53047404	0.46953047
D3_2	day3_mi	2412	4	0.34792573	0.33674098	2318.0729	2	immune_fibrotic_mechanical_mixed	0.44510978	0.696875	0.54323995	3	scar_repair_high	0.41935484	0.46952596	0.44302449
D3_3	day3_mi	2426	3	0.56904423	0.58734103	2093.2617	2	mechanical_scar_repair_mixed	0.53095238	0.96328294	0.68457406	1	immune_fibrotic_high	0.95766129	0.71536145	0.81896552
D3_3	day3_mi	2426	4	0.63236878	0.61755249	1590.0195	0	mechanical_scar_repair_mixed	0.64836795	0.94384449	0.76868953	3	immune_fibrotic_high	0.96162047	0.67921687	0.7961165
D7_1	day7_mi	2313	3	0.65081921	0.64416183	1437.4468	2	mechanical_high	0.57459677	0.94370861	0.71428571	1	immune_fibrotic_scar_repair_mixed	0.9491018	0.83641161	0.88920056
D7_1	day7_mi	2313	4	0.63461021	0.65276087	932.87075	1	mechanical_high	0.69544365	0.9602649	0.80667594	2	immune_fibrotic_scar_repair_mixed	0.96507937	0.80211082	0.87608069
D7_2	day7_mi	2403	3	0.62537361	0.65026535	1643.0617	2	mechanical_high	0.59977064	0.97757009	0.74342573	1	scar_repair_immune_fibrotic_mixed	0.97575758	0.83419689	0.89944134
D7_2	day7_mi	2403	4	0.64725224	0.6516122	1155.3768	1	mechanical_high	0.76261128	0.96074766	0.8502895	2	scar_repair_immune_fibrotic_mixed	0.98931624	0.79965458	0.88443171
D7_3	day7_mi	2357	3	0.56762596	0.63057872	1495.6813	0	mechanical_high	0.58255814	0.94886364	0.72190202	2	immune_fibrotic_scar_repair_mixed	0.95131086	0.87586207	0.91202873
D7_3	day7_mi	2357	4	0.69860032	0.69600748	903.69911	3	mechanical_scar_repair_mixed	0.83783784	0.8219697	0.82982792	1	immune_fibrotic_scar_repair_mixed	0.98377282	0.8362069	0.90400746
