sample	stage	score	histology_feature	n_spots	pearson_r	interpretation
D3_1	day3_mi	mechanical_border	he_brightness	2236	0.021372442	image-intensity audit only; not pathologist-grade histological segmentation
D3_1	day3_mi	mechanical_border	he_saturation	2236	0.013032951	image-intensity audit only; not pathologist-grade histological segmentation
D3_1	day3_mi	mechanical_border	he_blue_red_optical_density_proxy	2236	-0.37866453	image-intensity audit only; not pathologist-grade histological segmentation
D3_1	day3_mi	fibroblast_scar_repair	he_brightness	2236	-0.19702347	image-intensity audit only; not pathologist-grade histological segmentation
D3_1	day3_mi	fibroblast_scar_repair	he_saturation	2236	0.3374671	image-intensity audit only; not pathologist-grade histological segmentation
D3_1	day3_mi	fibroblast_scar_repair	he_blue_red_optical_density_proxy	2236	-0.2061216	image-intensity audit only; not pathologist-grade histological segmentation
D3_1	day3_mi	immune_fibrotic_activation	he_brightness	2236	-0.21330784	image-intensity audit only; not pathologist-grade histological segmentation
D3_1	day3_mi	immune_fibrotic_activation	he_saturation	2236	0.36661062	image-intensity audit only; not pathologist-grade histological segmentation
D3_1	day3_mi	immune_fibrotic_activation	he_blue_red_optical_density_proxy	2236	-0.083332745	image-intensity audit only; not pathologist-grade histological segmentation
D3_2	day3_mi	mechanical_border	he_brightness	2412	-0.10477001	image-intensity audit only; not pathologist-grade histological segmentation
D3_2	day3_mi	mechanical_border	he_saturation	2412	0.087553605	image-intensity audit only; not pathologist-grade histological segmentation
D3_2	day3_mi	mechanical_border	he_blue_red_optical_density_proxy	2412	0.04575921	image-intensity audit only; not pathologist-grade histological segmentation
D3_2	day3_mi	fibroblast_scar_repair	he_brightness	2412	-0.15393428	image-intensity audit only; not pathologist-grade histological segmentation
D3_2	day3_mi	fibroblast_scar_repair	he_saturation	2412	0.033409646	image-intensity audit only; not pathologist-grade histological segmentation
D3_2	day3_mi	fibroblast_scar_repair	he_blue_red_optical_density_proxy	2412	0.048052023	image-intensity audit only; not pathologist-grade histological segmentation
D3_2	day3_mi	immune_fibrotic_activation	he_brightness	2412	-0.25598605	image-intensity audit only; not pathologist-grade histological segmentation
D3_2	day3_mi	immune_fibrotic_activation	he_saturation	2412	0.1001362	image-intensity audit only; not pathologist-grade histological segmentation
D3_2	day3_mi	immune_fibrotic_activation	he_blue_red_optical_density_proxy	2412	0.12114464	image-intensity audit only; not pathologist-grade histological segmentation
D3_3	day3_mi	mechanical_border	he_brightness	2426	0.03311572	image-intensity audit only; not pathologist-grade histological segmentation
D3_3	day3_mi	mechanical_border	he_saturation	2426	0.012544031	image-intensity audit only; not pathologist-grade histological segmentation
D3_3	day3_mi	mechanical_border	he_blue_red_optical_density_proxy	2426	-0.13316115	image-intensity audit only; not pathologist-grade histological segmentation
D3_3	day3_mi	fibroblast_scar_repair	he_brightness	2426	0.10979043	image-intensity audit only; not pathologist-grade histological segmentation
D3_3	day3_mi	fibroblast_scar_repair	he_saturation	2426	-0.29228345	image-intensity audit only; not pathologist-grade histological segmentation
D3_3	day3_mi	fibroblast_scar_repair	he_blue_red_optical_density_proxy	2426	-0.37251013	image-intensity audit only; not pathologist-grade histological segmentation
D3_3	day3_mi	immune_fibrotic_activation	he_brightness	2426	0.10583698	image-intensity audit only; not pathologist-grade histological segmentation
D3_3	day3_mi	immune_fibrotic_activation	he_saturation	2426	-0.34272276	image-intensity audit only; not pathologist-grade histological segmentation
D3_3	day3_mi	immune_fibrotic_activation	he_blue_red_optical_density_proxy	2426	-0.38221009	image-intensity audit only; not pathologist-grade histological segmentation
D7_1	day7_mi	mechanical_border	he_brightness	2313	-0.085911081	image-intensity audit only; not pathologist-grade histological segmentation
D7_1	day7_mi	mechanical_border	he_saturation	2313	0.099346776	image-intensity audit only; not pathologist-grade histological segmentation
D7_1	day7_mi	mechanical_border	he_blue_red_optical_density_proxy	2313	-0.31099478	image-intensity audit only; not pathologist-grade histological segmentation
D7_1	day7_mi	fibroblast_scar_repair	he_brightness	2313	-0.53477052	image-intensity audit only; not pathologist-grade histological segmentation
D7_1	day7_mi	fibroblast_scar_repair	he_saturation	2313	0.050713173	image-intensity audit only; not pathologist-grade histological segmentation
D7_1	day7_mi	fibroblast_scar_repair	he_blue_red_optical_density_proxy	2313	-0.77785654	image-intensity audit only; not pathologist-grade histological segmentation
D7_1	day7_mi	immune_fibrotic_activation	he_brightness	2313	-0.47886464	image-intensity audit only; not pathologist-grade histological segmentation
D7_1	day7_mi	immune_fibrotic_activation	he_saturation	2313	0.031585838	image-intensity audit only; not pathologist-grade histological segmentation
D7_1	day7_mi	immune_fibrotic_activation	he_blue_red_optical_density_proxy	2313	-0.72892556	image-intensity audit only; not pathologist-grade histological segmentation
D7_2	day7_mi	mechanical_border	he_brightness	2403	-0.11925539	image-intensity audit only; not pathologist-grade histological segmentation
D7_2	day7_mi	mechanical_border	he_saturation	2403	0.28663344	image-intensity audit only; not pathologist-grade histological segmentation
D7_2	day7_mi	mechanical_border	he_blue_red_optical_density_proxy	2403	0.29800167	image-intensity audit only; not pathologist-grade histological segmentation
D7_2	day7_mi	fibroblast_scar_repair	he_brightness	2403	-0.37080243	image-intensity audit only; not pathologist-grade histological segmentation
D7_2	day7_mi	fibroblast_scar_repair	he_saturation	2403	0.42095674	image-intensity audit only; not pathologist-grade histological segmentation
D7_2	day7_mi	fibroblast_scar_repair	he_blue_red_optical_density_proxy	2403	-0.18166421	image-intensity audit only; not pathologist-grade histological segmentation
D7_2	day7_mi	immune_fibrotic_activation	he_brightness	2403	-0.37599106	image-intensity audit only; not pathologist-grade histological segmentation
D7_2	day7_mi	immune_fibrotic_activation	he_saturation	2403	0.44215961	image-intensity audit only; not pathologist-grade histological segmentation
D7_2	day7_mi	immune_fibrotic_activation	he_blue_red_optical_density_proxy	2403	-0.058245303	image-intensity audit only; not pathologist-grade histological segmentation
D7_3	day7_mi	mechanical_border	he_brightness	2357	-0.018623641	image-intensity audit only; not pathologist-grade histological segmentation
D7_3	day7_mi	mechanical_border	he_saturation	2357	0.095766312	image-intensity audit only; not pathologist-grade histological segmentation
D7_3	day7_mi	mechanical_border	he_blue_red_optical_density_proxy	2357	0.2412558	image-intensity audit only; not pathologist-grade histological segmentation
D7_3	day7_mi	fibroblast_scar_repair	he_brightness	2357	-0.31746094	image-intensity audit only; not pathologist-grade histological segmentation
D7_3	day7_mi	fibroblast_scar_repair	he_saturation	2357	-0.023184158	image-intensity audit only; not pathologist-grade histological segmentation
D7_3	day7_mi	fibroblast_scar_repair	he_blue_red_optical_density_proxy	2357	-0.54182405	image-intensity audit only; not pathologist-grade histological segmentation
D7_3	day7_mi	immune_fibrotic_activation	he_brightness	2357	-0.33938921	image-intensity audit only; not pathologist-grade histological segmentation
D7_3	day7_mi	immune_fibrotic_activation	he_saturation	2357	-0.0046621652	image-intensity audit only; not pathologist-grade histological segmentation
D7_3	day7_mi	immune_fibrotic_activation	he_blue_red_optical_density_proxy	2357	-0.42579387	image-intensity audit only; not pathologist-grade histological segmentation
