analysis_sample	geo_accession	species	manuscript_group	signature_id	n_signature_genes	n_present_in_matrix	n_detected_nonzero_in_filtered_matrix	present_genes	detected_genes
D3_1	GSM6613084	Mus musculus	day3_mi	CM_BZ1_TRANSITION	4	4	4	Nppa;Clu;Nppb;Ankrd1	Nppa;Clu;Nppb;Ankrd1
D3_1	GSM6613084	Mus musculus	day3_mi	CM_BZ2_MECHANICAL_EDGE	6	6	6	Nppa;Xirp2;Flnc;Xirp1;Vcl;Itgb1	Nppa;Xirp2;Flnc;Xirp1;Vcl;Itgb1
D3_1	GSM6613084	Mus musculus	day3_mi	FAP_POSTN_PATHO_FIBROBLAST	8	8	8	Fap;Postn;Col1a1;Col3a1;Fn1;Lox;Meox1;Tnc	Fap;Postn;Col1a1;Col3a1;Fn1;Lox;Meox1;Tnc
D3_1	GSM6613084	Mus musculus	day3_mi	CTHRC1_REPARATIVE_CF	7	7	7	Cthrc1;Cd200;Postn;Fn1;Lox;Ptn;Ddah1	Cthrc1;Cd200;Postn;Fn1;Lox;Ptn;Ddah1
D3_1	GSM6613084	Mus musculus	day3_mi	MYOFIBROBLAST_CONTRACTILE	6	6	6	Acta2;Tagln;Myl9;Tpm2;Col1a1;Col1a2	Acta2;Tagln;Myl9;Tpm2;Col1a1;Col1a2
D3_1	GSM6613084	Mus musculus	day3_mi	CCR2_IL1B_MYLOID	7	6	6	Ccr2;Il1b;Ccl2;Lst1;S100a8;S100a9	Ccr2;Il1b;Ccl2;Lst1;S100a8;S100a9
D3_1	GSM6613084	Mus musculus	day3_mi	TGFB_SIGNALING	7	7	7	Tgfb1;Tgfbr1;Tgfbr2;Smad2;Smad3;Serpine1;Ccn2	Tgfb1;Tgfbr1;Tgfbr2;Smad2;Smad3;Serpine1;Ccn2
D3_1	GSM6613084	Mus musculus	day3_mi	ECM_REMODELING	8	8	8	Col1a1;Col1a2;Col3a1;Fn1;Lox;Lum;Dcn;Postn	Col1a1;Col1a2;Col3a1;Fn1;Lox;Lum;Dcn;Postn
D3_1	GSM6613084	Mus musculus	day3_mi	ENDOTHELIAL_INFLAMMATORY_FIBROSIS	6	5	5	Plvap;Ackr1;Vwf;Sele;Vcam1	Plvap;Ackr1;Vwf;Sele;Vcam1
D3_1	GSM6613084	Mus musculus	day3_mi	HYPOXIA_ISCHEMIA	6	6	6	Hif1a;Vegfa;Ldha;Car9;Slc2a1;Bnip3	Hif1a;Vegfa;Ldha;Car9;Slc2a1;Bnip3
