mouse_gene_id	mouse_gene_name	human_gene_id	human_gene_name	primary_state	mouse_spatial_score	human_detected	human_detection_fraction	human_mean_log_expression	intended_score_column	intended_score_pearson_r	graph_morans_i	matched_null_n	matched_null_moran_p95	matched_null_moran_p99	moran_empirical_upper_p	hotspot_overlap_fraction	human_support_score	interpretation	open_targets_found	open_targets_tractability_labels	open_targets_tractability_modalities	open_targets_cv_disease_score	open_targets_cv_diseases	open_targets_is_essential	open_targets_safety_liability_count	open_targets_safety_events	open_targets_drug_count	chembl_target_id	chembl_target_type	chembl_mechanism_count	dgidb_interaction_count	pharmacology_source_count	known_drug_or_interaction_count	highest_clinical_phase	pharmacology_status
ENSMUSG00000031972	Acta1	ENSG00000143632	ACTA1	mechanical_adverse	36.95945351433853	True	0.927143778207608	3.270271844969541	mechanical_border_score	0.5948027109852096	0.450774465239155	100	0.2144647496874268	0.43054409722617304	0.019801980198019802	0.25	14.568816265911257	single-section within-human spatial support; not external validation	True	Database Ubiquitination; Structure with Ligand	PR; SM	0.43905138115480613	hypertrophic cardiomyopathy; dilated cardiomyopathy; familial restrictive cardiomyopathy	False	0		0			0	1	1	1	0.0	available
ENSMUSG00000035783	Acta2	ENSG00000107796	ACTA2	scar_repair_associated	38.58170232617402	True	0.5138620245003224	1.0619681154580536	fibroblast_scar_repair_score	0.3978764950186442	0.29127492388726184	100	0.16283160870784047	0.26327464007141277	0.019801980198019802	0.3125	13.887258970111866	single-section within-human spatial support; not external validation	True	Database Ubiquitination	PR	0.04439393214472638	familial isolated restrictive cardiomyopathy; cardiomyopathy, familial restrictive, 3	False	0		0			0	0	0	0	0	unavailable
ENSMUSG00000029580	Actb	ENSG00000075624	ACTB	scar_repair_associated	39.10567123443498	True	0.854287556415216	2.406709973430098	fibroblast_scar_repair_score	0.5090493231377285	0.41536087379966175	100	0.16145794538407812	0.28034563465970513	0.009900990099009901	0.18045112781954886	14.497904961382762	single-section within-human spatial support; not external validation	True	Database Ubiquitination; GO CC high conf; Half-life Data; Structure with Ligand; UniProt Ubiquitination	AB; PR; SM	0.5063785001596386	hypertrophic cardiomyopathy; coronary artery disorder; Sensorineural deafness with dilated cardiomyopathy	True	0		0	CHEMBL2062353	SINGLE PROTEIN	0	3	1	3	0.0	available
ENSMUSG00000068614	Actc1	ENSG00000159251	ACTC1	mechanical_adverse	36.37650537938125	True	0.8826563507414571	2.831497281116465	mechanical_border_score	0.5614802164602897	0.3703539814766206	100	0.1979732372936357	0.3170159290541284	0.009900990099009901	0.32116788321167883	15.93822436445517	single-section within-human spatial support; not external validation	True	Database Ubiquitination; Structure with Ligand	PR; SM	0.8003565117328012	hypertrophic cardiomyopathy; hypertrophic cardiomyopathy 11; familial isolated dilated cardiomyopathy; Left ventricular noncompaction cardiomyopathy; cardiomyopathy; Rare familial disorder with hypertrophic cardiomyopathy; familial hypertrophic cardiomyopathy; dilated cardiomyopathy	False	0		0	CHEMBL6066852	SINGLE PROTEIN	0	2	1	2	0.0	available
ENSMUSG00000062825	Actg1	ENSG00000184009	ACTG1	scar_repair_associated	37.639664767812874	True	0.7479045776918117	1.804784962262437	fibroblast_scar_repair_score	0.4264912308401579	0.2709269401361597	100	0.18135513646205131	0.22144865111592466	0.019801980198019802	0.15517241379310345	12.800326695385776	single-section within-human spatial support; not external validation	True	Database Ubiquitination; GO CC high conf; Half-life Data; Structure with Ligand	AB; PR; SM	0.5047896179103925	hypertrophic cardiomyopathy; coronary artery disorder	True	1	grade 3-4 neurotoxicity	0			0	2	1	2	0.0	available
ENSMUSG00000052374	Actn2	ENSG00000077522	ACTN2	mechanical_adverse	34.49492910548819	True	0.536428110896196	1.0956819296486127	mechanical_border_score	0.41174054216256933	0.20495287478904128	100	0.2642677353876306	0.497304711187685	0.07920792079207921	0.05952380952380952	9.946633729165892	single-section within-human spatial support; not external validation	True	Database Ubiquitination; GO CC high conf; Half-life Data; Med-Quality Pocket; Structure with Ligand; UniProt Ubiquitination	AB; PR; SM	0.7861386170784607	dilated cardiomyopathy 1AA; Rare familial disorder with hypertrophic cardiomyopathy; autosomal dominant dilated cardiomyopathy; cardiomyopathy, familial hypertrophic, 23, with or without ventricular noncompaction; intrinsic cardiomyopathy; familial hypertrophic cardiomyopathy; heart failure; hypertrophic cardiomyopathy	False	0		0			0	0	0	0	0	unavailable
ENSMUSG00000020473	Aebp1	ENSG00000106624	AEBP1	scar_repair_associated	38.975107108703796	True	0.7195357833655706	1.7052427362154152	fibroblast_scar_repair_score	0.4749421863315677	0.25884888690910396	100	0.1842165562052515	0.25540031782155076	0.019801980198019802	0.3125	14.349653117989407	single-section within-human spatial support; not external validation	True	Database Ubiquitination; GO CC med conf; UniProt SigP or TMHMM; UniProt loc med conf	AB; PR	0.0194859826064368	heart failure; familial dilated cardiomyopathy	False	0		0			0	0	0	0	0	unavailable
ENSMUSG00000024803	Ankrd1	ENSG00000148677	ANKRD1	mechanical_adverse	37.97316663317157	True	0.8749194068343005	2.5862963948503146	mechanical_border_score	0.6540715728349584	0.35149292103325996	100	0.12067504551943518	0.1625739271352666	0.009900990099009901	0.18382352941176472	15.395017672303869	single-section within-human spatial support; not external validation	True			0.3808081526448414	familial isolated dilated cardiomyopathy; dilated cardiomyopathy; ankrd1-related dilated cardiomyopathy; autosomal dominant dilated cardiomyopathy; cardiomyopathy; familial hypertrophic cardiomyopathy; hypertrophic cardiomyopathy 1; Rare familial disorder with hypertrophic cardiomyopathy	False	0		0			0	0	0	0	0	unavailable
ENSMUSG00000002985	Apoe	ENSG00000130203	APOE	scar_repair_associated	39.37365229505947	True	0.3662153449387492	0.7214006237194823	fibroblast_scar_repair_score	0.23931672658983938	0.30254062001949145	100	0.19492598136357972	0.32159374650052247	0.0297029702970297	0.03508771929824561	10.716602113925003	single-section within-human spatial support; not external validation	True	Database Ubiquitination; GO CC high conf; Half-life Data; Structure with Ligand; UniProt SigP or TMHMM; UniProt loc high conf	AB; PR; SM	0.7749114975458468	coronary artery disorder; myocardial infarction; heart failure; acute myocardial infarction; coronary artery bypass; coronary artery calcification	False	4	elevated plasma lipids; elevated triglycerides; hemorrhage; hypertriglyceridemia	0			0	39	1	39	0.0	available
ENSMUSG00000031375	Bgn	ENSG00000182492	BGN	scar_repair_associated	38.18319495707481	True	0.8452611218568665	2.430981757105498	fibroblast_scar_repair_score	0.5845384395842005	0.3940900657696746	100	0.16849604899488022	0.3263720063579491	0.019801980198019802	0.3712121212121212	15.476927607202171	single-section within-human spatial support; not external validation	True	GO CC high conf; Half-life Data; UniProt SigP or TMHMM; UniProt loc med conf	AB; PR	0.0		False	0		0			0	0	0	0	0	unavailable
