scenario	human_gene_name	mouse_component	human_component	pharmacology_component	penalty_component	scenario_score	scenario_rank	top10	median_rank_all_scenarios	rank_range_all_scenarios	top10_frequency_all_scenarios
primary	COL6A1	37.35714096737006	14.456331422118977	24.0	4.0	71.81347238948904	1	True	1.0	1-7	1.0
primary	CD74	38.246395779255145	13.172477316397735	20.0	0.0	71.41887309565288	2	True	2.0	1-10	1.0
primary	COL6A2	37.11388253125003	13.689627215818795	24.49645966091785	4.0	71.29996940798668	3	True	3.0	2-8	1.0
primary	FN1	38.42100883309308	16.67872935562358	30.0	14.0	71.09973818871666	4	True	4.0	1-26	0.9473684210526315
primary	MYH7	37.141655837024786	14.728942737573128	30.0	15.0	66.87059857459792	5	True	5.0	2-64	0.9473684210526315
primary	COL18A1	37.59280026623878	12.49594820317738	25.813443833940156	10.0	65.90219230335632	6	True	6.0	5-34	0.9473684210526315
primary	COL5A1	38.09648599864171	13.999295393280267	26.412247207510944	14.0	64.50802859943292	7	True	7.0	4-53	0.8947368421052632
primary	COL3A1	38.30561679246617	16.60946893010749	24.0	15.0	63.91508572257365	8	True	8.0	3-37	0.7894736842105263
primary	TNFRSF12A	35.364703672593905	9.5119761840276	18.669937898515077	0.0	63.54661775513658	9	True	9.0	5-18	0.9473684210526315
primary	TNNT2	35.64486586272267	14.215148314176075	26.0	14.0	61.860014176898744	10	True	10.0	6-69	0.631578947368421
primary	MT-ND4	33.74725470251237	14.432252380628745	16.651204014595372	3.0	61.8307110977365	11	False	11.0	6-16	0.3157894736842105
primary	LOXL2	34.71505115627345	6.6080543202634505	18.886991651243285	0.0	60.21009712778018	12	False	12.0	7-33	0.15789473684210525
primary	MT-ND5	33.84099040956678	13.465192743525977	15.647967533414494	3.0	59.95415068650725	13	False	13.0	9-19	0.05263157894736842
primary	VIM	37.77622878697581	12.916839943006185	18.870442863965017	10.0	59.563511593947	14	False	14.0	11-27	0.0
primary	ENG	34.80176886679815	9.750365912639621	20.888693907032213	8.0	57.440828686469985	15	False	15.0	12-66	0.0
primary	CSF1	35.68213445869026	4.630174891277472	18.0	1.0	57.31230934996773	16	False	16.0	9-47	0.05263157894736842
primary	CXCL12	37.58499380577856	12.345751958441584	23.00647066125395	18.0	54.93721642547409	17	False	17.0	9-85	0.05263157894736842
primary	IL1B	31.410083711419297	0.6115359844727385	25.554570149158685	3.0	54.57618984505072	18	False	18.0	6-88	0.05263157894736842
primary	IGFBP7	37.830678240975146	13.82823358850675	2.8069353040487472	0.0	54.465847133530644	19	False	19.0	1-52	0.05263157894736842
primary	COL1A2	38.386077584488724	17.702592250895666	11.5	14.0	53.588669835384394	20	False	20.0	13-42	0.0
primary	TGFB1	35.12623295523657	7.304502126233318	25.01240803954329	14.0	53.44314312101318	21	False	21.0	14-90	0.0
primary	COL1A1	38.43757856171216	17.850843348253335	11.5	15.0	52.78842190996549	22	False	22.0	12-44	0.0
primary	LY6E	35.32799135935423	6.465482680695467	10.880861287342233	0.0	52.67433532739193	23	False	23.0	18-62	0.0
primary	ACTB	39.10567123443498	14.497904961382762	10.5	12.0	52.10357619581774	24	False	24.0	17-31	0.0
primary	ACTC1	36.37650537938125	15.93822436445517	10.5	12.0	50.81472974383642	25	False	25.0	20-46	0.0
primary	TGM2	35.355903759158416	9.19366322876041	6.143194604301974	0.0	50.6927615922208	26	False	26.0	8-67	0.05263157894736842
