candidate_gene	candidate_mouse_spatial_score	null_index	matched_mouse_gene	matched_mouse_spatial_score	detection_distance	effect_percentile_distance	seed
COL6A1	37.35714096737006	1	Pygb	32.925706129906985	0.014877450373105727	0.06317476186249449	20260711
COL6A1	37.35714096737006	2	Fbn1	37.73591565235781	0.00314781620250959	0.026714921530406555	20260711
COL6A1	37.35714096737006	3	Grn	37.37679368633097	0.012537829658452182	0.008735106078649246	20260711
COL6A1	37.35714096737006	4	Nppb	37.57532993764238	0.056613891001151995	0.00972170963808705	20260711
COL6A1	37.35714096737006	5	Col15a1	33.48688389943709	0.008482930766298469	0.06201152029599588	20260711
COL6A1	37.35714096737006	6	Ogn	36.93808595353968	0.015996541288370025	0.04946478348512762	20260711
COL6A1	37.35714096737006	7	Rrad	36.33995944047729	0.04422733045131122	0.006563672292893896	20260711
COL6A1	37.35714096737006	8	Dsp	35.09374706719717	0.0401838447554953	0.01005339699238983	20260711
COL6A1	37.35714096737006	9	Eef1g	36.023976478330354	0.014267185473411104	0.021303546599429124	20260711
COL6A1	37.35714096737006	10	Mfge8	36.53255908931573	0.009079118028534339	0.036322872938468365	20260711
COL6A1	37.35714096737006	11	Ankrd23	36.539922535335315	0.016773521689823934	0.0034616947822309063	20260711
COL6A1	37.35714096737006	12	Fxyd1	34.394894861384785	0.03687060500834072	0.017420593580214527	20260711
COL6A1	37.35714096737006	13	Pdhb	32.32445307323761	0.008236517834042223	0.05619531246350262	20260711
COL6A1	37.35714096737006	14	Gnb2	35.893725383635015	0.0410722006052745	0.02329139861489027	20260711
COL6A1	37.35714096737006	15	Cd63	37.47044051095648	0.023778642455685284	0.006615528929633463	20260711
COL6A1	37.35714096737006	16	Rpl35	36.429289007397074	0.03242542153048	0.02053049303786092	20260711
COL6A1	37.35714096737006	17	Eln	33.51468395745127	0.06468406061813126	0.01105426676335386	20260711
COL6A1	37.35714096737006	18	Anxa5	36.53264709497844	0.02204928664072625	0.03488720203841311	20260711
COL6A1	37.35714096737006	19	Calr	36.69600005067132	0.05100466181216412	0.0063946564834711506	20260711
COL6A1	37.35714096737006	20	Popdc2	35.207151103516196	0.02430379120271442	0.0038494419710637384	20260711
COL6A1	37.35714096737006	21	Tuba1b	35.55709425257392	0.03227807005186456	0.022849653722565533	20260711
COL6A1	37.35714096737006	22	Cfl2	35.286954941049814	0.029705482008034467	0.02982850362286682	20260711
COL6A1	37.35714096737006	23	Mrpl52	34.87352660143648	0.035451794206658005	0.04239686520793273	20260711
COL6A1	37.35714096737006	24	Ppib	37.326336950352044	0.017293558149589328	0.01423562832223424	20260711
COL6A1	37.35714096737006	25	Ndufs1	33.10732904410381	0.012372249441167993	0.048828115875677924	20260711
COL6A1	37.35714096737006	26	Bola3	33.41794987343548	0.006607991449481432	0.05929728997416572	20260711
COL6A1	37.35714096737006	27	Akr1a1	36.6060089790145	0.034154777345438814	0.007167710045039355	20260711
COL6A1	37.35714096737006	28	Cfh	32.08869002516686	0.0311284046692607	0.016223480337695273	20260711
COL6A1	37.35714096737006	29	Hsp90b1	35.965559297261024	0.032857760484219733	0.020972237930185655	20260711
COL6A1	37.35714096737006	30	Cfl1	37.16901568659764	0.0343588024696756	0.0022193689168601427	20260711
CD74	38.246395779255145	1	Crip1	37.17882338516121	0.08127972330306965	0.010049696300386546	20260711
CD74	38.246395779255145	2	Tuba1a	36.334111613087785	0.05043144836787994	0.043732744340143515	20260711
CD74	38.246395779255145	3	Ndufv1	33.40971254071319	0.03611582035054173	0.04148894920511825	20260711
CD74	38.246395779255145	4	Calm1	36.05310387235785	0.045827929096411646	0.03732744340143568	20260711
CD74	38.246395779255145	5	Sec61g	35.93390784496637	0.05706874189364464	0.032909994478188875	20260711
