human_gene_name	primary_state	priority_tier	pharmacology_source_count	overall_rank	median_rank_all_scenarios	rank_range_all_scenarios	top10_frequency_all_scenarios
COL6A1	immune_fibrotic_adverse	tier_b	3	1	1.0	1-7	1.0
CD74	immune_fibrotic_adverse	tier_a	3	2	2.0	1-10	1.0
COL6A2	immune_fibrotic_adverse	tier_b	3	3	3.0	2-8	1.0
FN1	scar_repair_associated	caution_protective	3	4	4.0	1-26	0.9473684210526316
MYH7	mechanical_adverse	caution_protective	3	5	5.0	2-64	0.9473684210526316
COL18A1	scar_repair_associated	tier_b	3	6	6.0	5-34	0.9473684210526316
COL5A1	scar_repair_associated	caution_protective	3	7	7.0	4-53	0.8947368421052632
COL3A1	scar_repair_associated	caution_protective	3	8	8.0	3-37	0.7894736842105263
TNFRSF12A	mechanical_adverse	tier_b	3	9	9.0	5-18	0.9473684210526316
TNNT2	mechanical_adverse	caution_protective	3	10	10.0	6-69	0.631578947368421
MT-ND4	mechanical_adverse	tier_b	2	11	11.0	6-16	0.3157894736842105
LOXL2	immune_fibrotic_adverse	tier_b	3	12	12.0	7-33	0.1578947368421052
MT-ND5	mechanical_adverse	tier_b	2	13	13.0	9-19	0.0526315789473684
VIM	scar_repair_associated	tier_b	3	14	14.0	11-27	0.0
ENG	immune_fibrotic_adverse	tier_b	3	15	15.0	12-66	0.0
CSF1	immune_fibrotic_adverse	tier_b	3	16	16.0	9-47	0.0526315789473684
CXCL12	scar_repair_associated	caution_protective	3	17	17.0	9-85	0.0526315789473684
IL1B	immune_fibrotic_adverse	tier_b	3	18	18.0	6-88	0.0526315789473684
IGFBP7	immune_fibrotic_adverse	tier_b	0	19	19.0	1-52	0.0526315789473684
COL1A2	scar_repair_associated	caution_protective	2	20	20.0	13-42	0.0
TGFB1	immune_fibrotic_adverse	caution_protective	3	21	21.0	14-90	0.0
COL1A1	scar_repair_associated	caution_protective	2	22	22.0	12-44	0.0
LY6E	immune_fibrotic_adverse	tier_b	3	23	23.0	18-62	0.0
ACTB	scar_repair_associated	caution_protective	1	24	24.0	17-31	0.0
ACTC1	mechanical_adverse	caution_protective	1	25	25.0	20-46	0.0
TGM2	mechanical_adverse	tier_b	1	26	26.0	8-67	0.0526315789473684
EEF1A1	scar_repair_associated	caution_protective	1	27	27.0	21-40	0.0
NPPA	mechanical_adverse	caution_protective	1	28	28.0	11-60	0.0
VCAN	immune_fibrotic_adverse	tier_b	1	29	29.0	4-70	0.0526315789473684
ITGA1	immune_fibrotic_adverse	tier_b	1	30	30.0	21-71	0.0
RPS19	scar_repair_associated	caution_protective	2	31	31.0	23-57	0.0
CRYAB	mechanical_adverse	caution_protective	0	32	32.0	24-49	0.0
RPS12	scar_repair_associated	caution_protective	2	33	33.0	25-51	0.0
RPL13	scar_repair_associated	caution_protective	2	34	34.0	27-58	0.0
RPL13A	scar_repair_associated	caution_protective	2	35	35.0	28-59	0.0
ACTA1	mechanical_adverse	caution_protective	1	36	36.0	29-50	0.0
TNNC1	mechanical_adverse	caution_protective	2	37	37.0	27-81	0.0
ACTG1	scar_repair_associated	caution_protective	1	38	38.0	30-61	0.0
IGFBP3	immune_fibrotic_adverse	tier_b	1	39	39.0	15-77	0.0
TPM1	mechanical_adverse	caution_protective	0	40	40.0	34-66	0.0
STK10	immune_fibrotic_adverse	tier_b	1	41	41.0	25-80	0.0
THBS4	mechanical_adverse	tier_b	1	42	42.0	10-68	0.0526315789473684
DES	mechanical_adverse	caution_protective	1	43	43.0	35-62	0.0
ANKRD1	mechanical_adverse	caution_protective	0	44	44.0	22-75	0.0
TTN	mechanical_adverse	caution_protective	1	45	45.0	39-73	0.0
TMSB4X	scar_repair_associated	tier_b	1	46	46.0	31-59	0.0
EMP1	immune_fibrotic_adverse	tier_b	1	47	47.0	12-85	0.0
C1QA	scar_repair_associated	tier_b	1	48	48.0	28-65	0.0
FLNC	mechanical_adverse	caution_protective	0	49	49.0	41-67	0.0
