sample	stage	score	contrast	n_domain34_graph_edges	mean_edge_delta	median_edge_delta
D3_1	day3_mi	mechanical_border	domain4_minus_domain3_across_graph_edges	824	-2.3113906	-2.3179105
D3_1	day3_mi	immune_fibrotic_activation	domain4_minus_domain3_across_graph_edges	824	0.071866413	0.1394618
D3_1	day3_mi	fibroblast_scar_repair	domain4_minus_domain3_across_graph_edges	824	0.025026627	0.0136982
D3_2	day3_mi	mechanical_border	domain4_minus_domain3_across_graph_edges	592	-1.0032629	-0.98604917
D3_2	day3_mi	immune_fibrotic_activation	domain4_minus_domain3_across_graph_edges	592	-0.059547417	-0.04880105
D3_2	day3_mi	fibroblast_scar_repair	domain4_minus_domain3_across_graph_edges	592	-0.29698466	-0.12750948
D3_3	day3_mi	mechanical_border	domain4_minus_domain3_across_graph_edges	761	-1.182012	-1.0663467
D3_3	day3_mi	immune_fibrotic_activation	domain4_minus_domain3_across_graph_edges	761	-0.036670615	0.0052379
D3_3	day3_mi	fibroblast_scar_repair	domain4_minus_domain3_across_graph_edges	761	-0.21488126	-0.1735464
D7_1	day7_mi	mechanical_border	domain4_minus_domain3_across_graph_edges	478	-2.1841782	-2.132151
D7_1	day7_mi	immune_fibrotic_activation	domain4_minus_domain3_across_graph_edges	478	-0.18921962	-0.18788945
D7_1	day7_mi	fibroblast_scar_repair	domain4_minus_domain3_across_graph_edges	478	0.54034501	0.58111495
D7_2	day7_mi	mechanical_border	domain4_minus_domain3_across_graph_edges	594	-1.5823658	-1.3759432
D7_2	day7_mi	immune_fibrotic_activation	domain4_minus_domain3_across_graph_edges	594	-0.18926196	-0.2039668
D7_2	day7_mi	fibroblast_scar_repair	domain4_minus_domain3_across_graph_edges	594	0.91287808	0.9363767
D7_3	day7_mi	mechanical_border	domain4_minus_domain3_across_graph_edges	720	-2.0078353	-2.0379483
D7_3	day7_mi	immune_fibrotic_activation	domain4_minus_domain3_across_graph_edges	720	-0.295633	-0.26714095
D7_3	day7_mi	fibroblast_scar_repair	domain4_minus_domain3_across_graph_edges	720	0.9709263	1.0977474
