human_gene_name	human_gene_id	primary_state	drug_key	drug_name	sources	pair_source_count	raw_actions	normalized_action	desired_action	direction_match	mechanism_text	max_clinical_phase	approval_or_warning	disease_context	upstream_evidence_sources	mouse_spatial_score	human_support_score	pharmacology_score	repair_safety_penalty	target_final_priority_score	target_priority_tier	pair_qualifies_for_tier_a	claim_boundary
ACTA1	ENSG00000143632	mechanical_adverse	NCIT:C166566	TIMBETASIN	DGIdb	1		unknown	inhibit	unknown	DGIdb interaction type	0.0			TdgClinicalTrial	36.95945351433853	14.568816265911257	9.768616573857674	12.0	49.29688635410746	caution_protective	False	therapeutic hypothesis; not efficacy or treatment recommendation
ACTB	ENSG00000075624	scar_repair_associated	NCIT:C1894	ENVIRONMENTAL ESTROGEN	DGIdb	1		unknown	context_dependent	unknown	DGIdb interaction type	0.0			NCI	39.10567123443498	14.497904961382762	10.5	12.0	52.10357619581774	caution_protective	False	therapeutic hypothesis; not efficacy or treatment recommendation
ACTB	ENSG00000075624	scar_repair_associated	RXCUI:1545988	CYCLOPHOSPHAMIDE ANHYDROUS	DGIdb	1		unknown	context_dependent	unknown	DGIdb interaction type	0.0			NCI	39.10567123443498	14.497904961382762	10.5	12.0	52.10357619581774	caution_protective	False	therapeutic hypothesis; not efficacy or treatment recommendation
ACTB	ENSG00000075624	scar_repair_associated	RXCUI:4124	ETHINYL ESTRADIOL	DGIdb	1		unknown	context_dependent	unknown	DGIdb interaction type	0.0			NCI	39.10567123443498	14.497904961382762	10.5	12.0	52.10357619581774	caution_protective	False	therapeutic hypothesis; not efficacy or treatment recommendation
ACTC1	ENSG00000159251	mechanical_adverse	NCIT:C521	THERAPEUTIC GLUCOCORTICOID	DGIdb	1		unknown	inhibit	unknown	DGIdb interaction type	0.0			NCI	36.37650537938125	15.93822436445517	10.5	12.0	50.81472974383642	caution_protective	False	therapeutic hypothesis; not efficacy or treatment recommendation
ACTC1	ENSG00000159251	mechanical_adverse	RXCUI:3264	DEXAMETHASONE	DGIdb	1		unknown	inhibit	unknown	DGIdb interaction type	0.0			NCI	36.37650537938125	15.93822436445517	10.5	12.0	50.81472974383642	caution_protective	False	therapeutic hypothesis; not efficacy or treatment recommendation
ACTG1	ENSG00000184009	scar_repair_associated	NCIT:C166566	TIMBETASIN	DGIdb	1		unknown	context_dependent	unknown	DGIdb interaction type	0.0			TdgClinicalTrial	37.639664767812874	12.800326695385776	10.5	13.0	47.93999146319865	caution_protective	False	therapeutic hypothesis; not efficacy or treatment recommendation
ACTG1	ENSG00000184009	scar_repair_associated	RXCUI:11202	VINCRISTINE	DGIdb	1		unknown	context_dependent	unknown	DGIdb interaction type	0.0			PharmGKB	37.639664767812874	12.800326695385776	10.5	13.0	47.93999146319865	caution_protective	False	therapeutic hypothesis; not efficacy or treatment recommendation
APOE	ENSG00000130203	scar_repair_associated	DRUGBANK:DB17642	AEM-28	DGIdb	1		unknown	context_dependent	unknown	DGIdb interaction type	0.0			TTD	39.37365229505947	10.716602113925003	10.5	16.0	44.59025440898448	caution_protective	False	therapeutic hypothesis; not efficacy or treatment recommendation
APOE	ENSG00000130203	scar_repair_associated	DRUGBANK:DB18345	CN-105	DGIdb	1		unknown	context_dependent	unknown	DGIdb interaction type	0.0			TTD	39.37365229505947	10.716602113925003	10.5	16.0	44.59025440898448	caution_protective	False	therapeutic hypothesis; not efficacy or treatment recommendation
