dataset	study_role	species	sample	patient	stage_region	file_role	url	expected_size	source_citation	local_path	bytes	sha256	retrieved_at_utc	status
GSE265828	mouse_scar_external	mouse	GSM8229743_dpi3		day3	author_metadata	https://raw.githubusercontent.com/lsudupe/Cardio_paper/main/meta/meta_dpi3_process.csv		Hernandez et al. Scientific Data 2026; author GitHub Cardio_paper	data/raw/external_validation/GSE265828/GSM8229743_dpi3/meta_dpi3_process.csv	310994	f94de3bb33a77b96fc703171a31f05359de07acd27af251d3279ed800b120b00	2026-07-11T16:36:03+00:00	downloaded
GSE265828	mouse_scar_external	mouse	GSM8229743_dpi3		day3	barcodes	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8229nnn/GSM8229743/suppl/GSM8229743_dpi3_barcodes.tsv.gz	10682	Hernandez et al. Scientific Data 2026; GSE265828	data/raw/external_validation/GSE265828/GSM8229743_dpi3/GSM8229743_dpi3_barcodes.tsv.gz	10682	63a9f2eaecb3559d30d7bf7734c64562abee39ff3feb11dd7ee3ee75a820b927	2026-07-11T16:36:02+00:00	cached
GSE265828	mouse_scar_external	mouse	GSM8229743_dpi3		day3	features	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8229nnn/GSM8229743/suppl/GSM8229743_dpi3_features.tsv.gz	191618	Hernandez et al. Scientific Data 2026; GSE265828	data/raw/external_validation/GSE265828/GSM8229743_dpi3/GSM8229743_dpi3_features.tsv.gz	191618	59f34fcf3ceee93cbd8c443e3291492abf5f83fff0f11f49140c008f4834fd2f	2026-07-11T16:36:02+00:00	cached
GSE265828	mouse_scar_external	mouse	GSM8229743_dpi3		day3	matrix	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8229nnn/GSM8229743/suppl/GSM8229743_dpi3_matrix.mtx.gz	12434524	Hernandez et al. Scientific Data 2026; GSE265828	data/raw/external_validation/GSE265828/GSM8229743_dpi3/GSM8229743_dpi3_matrix.mtx.gz	12434524	029b2b361520df01dafbc85532ad5674fa02b264f18904b0da547312e7223e6e	2026-07-11T16:36:02+00:00	cached
GSE265828	mouse_scar_external	mouse	GSM8229743_dpi3		day3	positions	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8229nnn/GSM8229743/suppl/GSM8229743_dpi3_tissue_positions_list.csv.gz	64190	Hernandez et al. Scientific Data 2026; GSE265828	data/raw/external_validation/GSE265828/GSM8229743_dpi3/GSM8229743_dpi3_tissue_positions_list.csv.gz	64190	991d385bb70c32c058a1bba4aee74c8bf0f503d19f9f30059e6dc2d337d07b5d	2026-07-11T16:36:02+00:00	cached
GSE265828	mouse_scar_external	mouse	GSM8229745_dpi5_male		day5	author_metadata	https://raw.githubusercontent.com/lsudupe/Cardio_paper/main/meta/meta_dpi5_process.csv		Hernandez et al. Scientific Data 2026; author GitHub Cardio_paper	data/raw/external_validation/GSE265828/GSM8229745_dpi5_male/meta_dpi5_process.csv	326631	7c703eab41b721d88efd9f3ebb68e9bfb7738cdb7d0ee08fddb6d63535824164	2026-07-11T16:36:04+00:00	downloaded
GSE265828	mouse_scar_external	mouse	GSM8229745_dpi5_male		day5	barcodes	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8229nnn/GSM8229745/suppl/GSM8229745_dpi5_male_barcodes.tsv.gz	11949	Hernandez et al. Scientific Data 2026; GSE265828	data/raw/external_validation/GSE265828/GSM8229745_dpi5_male/GSM8229745_dpi5_male_barcodes.tsv.gz	11949	7267393e228f5529e742ad70221df6d6e1154908ab3888e3098fe04ccd0b9196	2026-07-11T16:36:02+00:00	cached
GSE265828	mouse_scar_external	mouse	GSM8229745_dpi5_male		day5	features	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8229nnn/GSM8229745/suppl/GSM8229745_dpi5_male_features.tsv.gz	191618	Hernandez et al. Scientific Data 2026; GSE265828	data/raw/external_validation/GSE265828/GSM8229745_dpi5_male/GSM8229745_dpi5_male_features.tsv.gz	191618	176da83726913dadf22835373432cce052060880e04cb73fce2bfdda75b444d1	2026-07-11T16:36:02+00:00	cached
GSE265828	mouse_scar_external	mouse	GSM8229745_dpi5_male		day5	matrix	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8229nnn/GSM8229745/suppl/GSM8229745_dpi5_male_matrix.mtx.gz	14539271	Hernandez et al. Scientific Data 2026; GSE265828	data/raw/external_validation/GSE265828/GSM8229745_dpi5_male/GSM8229745_dpi5_male_matrix.mtx.gz	14539271	0060a94c64a348a10268b786348c3e31e3d04d01dd18434f05ac37f15856b06b	2026-07-11T16:36:02+00:00	cached
GSE265828	mouse_scar_external	mouse	GSM8229745_dpi5_male		day5	positions	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8229nnn/GSM8229745/suppl/GSM8229745_dpi5_male_tissue_positions_list.csv.gz	66089	Hernandez et al. Scientific Data 2026; GSE265828	data/raw/external_validation/GSE265828/GSM8229745_dpi5_male/GSM8229745_dpi5_male_tissue_positions_list.csv.gz	66089	f752b3a0631d5d2624e2f81f4cb6ed8f059d328c35d6cfa3247d0cecf97210c1	2026-07-11T16:36:02+00:00	cached
