sample	annotated	n_spots	mean_CM_BZ1_TRANSITION	mean_CM_BZ2_MECHANICAL_EDGE	mean_FAP_POSTN_PATHO_FIBROBLAST	mean_CTHRC1_REPARATIVE_CF	mean_MYOFIBROBLAST_CONTRACTILE	mean_CCR2_IL1B_MYLOID	mean_TGFB_SIGNALING	mean_ECM_REMODELING	mean_ENDOTHELIAL_INFLAMMATORY_FIBROSIS	mean_HYPOXIA_ISCHEMIA	mean_CM_ELECTRICAL_CALCIUM_FUNCTION	mean_INJURY_STRESS_IMMEDIATE_EARLY	mean_signature_fibrotic_risk	mean_signature_mechanical_border_score	mean_signature_fibroblast_scar_score	mean_prototype_fibrotic_risk	mean_prototype_repair_proxy	mean_prototype_immune_proxy	mean_prototype_border_activation
D3_1	1	642	2.12584	1.0242	0.641994	0.293947	0.600234	0.0927622	0.245971	0.981049	0.0747355	0.670679	1.57667	0.51866	-2.57328	-0.76605	-3.83893	-1.14847	-0.359188	-0.298189	0.0762388
D3_1	2	327	3.1404	1.55918	1.23709	0.660456	1.13453	0.185408	0.473874	1.62204	0.146002	0.747357	1.56336	0.709933	0.520747	1.52383	-0.998245	0.335624	-0.127094	-0.000365999	1.26216
D3_1	3	376	3.27435	2.01774	1.82229	1.05585	1.71833	0.376856	0.817542	2.07787	0.219436	0.809513	1.14719	0.727792	3.89464	2.62921	1.74217	4.23346	0.338854	0.646379	2.10612
D3_1	4	891	1.73658	1.16043	1.60873	0.892523	1.57691	0.927906	0.69753	2.07746	0.190799	0.692616	0.61283	0.494254	3.58829	-0.937706	0.997028	3.20648	0.330898	2.18462	-0.566093
D3_2	1	939	1.9345	0.78645	0.656702	0.329145	0.557374	0.0358584	0.11384	1.02921	0.0514347	0.390972	1.28412	0.433681	-3.65	-1.48121	-3.77472	-0.812402	-0.234995	-0.248015	0.105155
D3_2	2	710	2.55414	1.14147	1.35905	0.889635	1.12807	0.0686413	0.23793	1.91672	0.108447	0.466876	1.19399	0.521679	-1.33214	-0.0241132	-0.172312	0.745746	0.162723	0.213798	0.438371
D3_2	3	320	2.80698	1.47591	1.76767	1.12509	1.53806	0.202172	0.510477	2.24877	0.130356	0.575819	1.02647	0.606969	1.22995	0.962862	1.69815	2.95815	0.501478	0.651208	0.908732
D3_2	4	443	2.00977	1.09227	1.57118	0.931446	1.43338	0.475421	0.433307	2.10411	0.11363	0.567587	0.84447	0.489309	0.997459	-0.760418	0.826566	2.35448	0.358679	1.30456	-0.150722
D3_3	1	888	1.93847	0.966591	0.75803	0.380671	0.72096	0.0762782	0.243385	1.10352	0.0604904	0.522471	1.35605	0.587095	-2.59493	-1.10367	-3.24089	-0.836383	-0.325871	-0.25313	-0.0771642
D3_3	2	411	2.71929	1.38093	1.21865	0.689699	1.13144	0.136605	0.418496	1.61756	0.108247	0.595825	1.3258	0.68974	-0.261381	0.664059	-0.988777	0.372363	-0.145617	0.000908703	0.696955
