left_signature	right_signature	n_left_genes	n_right_genes	n_overlap_genes	jaccard	overlap_genes
CCR2_IL1B_MYLOID	CM_BZ1_TRANSITION	7	4	0	0	NA
CCR2_IL1B_MYLOID	CM_BZ2_MECHANICAL_EDGE	7	6	0	0	NA
CCR2_IL1B_MYLOID	CM_ELECTRICAL_CALCIUM_FUNCTION	7	7	0	0	NA
CCR2_IL1B_MYLOID	CTHRC1_REPARATIVE_CF	7	7	0	0	NA
CCR2_IL1B_MYLOID	ECM_REMODELING	7	8	0	0	NA
CCR2_IL1B_MYLOID	ENDOTHELIAL_INFLAMMATORY_FIBROSIS	7	6	0	0	NA
CCR2_IL1B_MYLOID	FAP_POSTN_PATHO_FIBROBLAST	7	8	0	0	NA
CCR2_IL1B_MYLOID	HYPOXIA_ISCHEMIA	7	7	0	0	NA
CCR2_IL1B_MYLOID	INJURY_STRESS_IMMEDIATE_EARLY	7	6	0	0	NA
CCR2_IL1B_MYLOID	MYOFIBROBLAST_CONTRACTILE	7	6	0	0	NA
CCR2_IL1B_MYLOID	TGFB_SIGNALING	7	7	0	0	NA
CM_BZ1_TRANSITION	CM_BZ2_MECHANICAL_EDGE	4	6	1	0.11111111	NPPA
CM_BZ1_TRANSITION	CM_ELECTRICAL_CALCIUM_FUNCTION	4	7	0	0	NA
CM_BZ1_TRANSITION	CTHRC1_REPARATIVE_CF	4	7	0	0	NA
CM_BZ1_TRANSITION	ECM_REMODELING	4	8	0	0	NA
CM_BZ1_TRANSITION	ENDOTHELIAL_INFLAMMATORY_FIBROSIS	4	6	0	0	NA
CM_BZ1_TRANSITION	FAP_POSTN_PATHO_FIBROBLAST	4	8	0	0	NA
CM_BZ1_TRANSITION	HYPOXIA_ISCHEMIA	4	7	0	0	NA
CM_BZ1_TRANSITION	INJURY_STRESS_IMMEDIATE_EARLY	4	6	0	0	NA
CM_BZ1_TRANSITION	MYOFIBROBLAST_CONTRACTILE	4	6	0	0	NA
CM_BZ1_TRANSITION	TGFB_SIGNALING	4	7	0	0	NA
CM_BZ2_MECHANICAL_EDGE	CM_ELECTRICAL_CALCIUM_FUNCTION	6	7	0	0	NA
CM_BZ2_MECHANICAL_EDGE	CTHRC1_REPARATIVE_CF	6	7	0	0	NA
CM_BZ2_MECHANICAL_EDGE	ECM_REMODELING	6	8	0	0	NA
CM_BZ2_MECHANICAL_EDGE	ENDOTHELIAL_INFLAMMATORY_FIBROSIS	6	6	0	0	NA
